,id_orgao_julgador,sigla_tribunal,ramo_justica,nome_orgao,uf,id_municipio,ind1,ind2,ind3,taxa_entrada,taxa_saida,retorno,log_ind1,log_ind2,log_ind3,log_taxa_entrada,log_taxa_saida,log_retorno
11227,4664,TJES,Justiça Estadual,VARA DE ORFÃOS E SUCESSÕES - SERRA,ES,892,77,2388,30,0.032244556113902846,0.01256281407035176,0.38961038961038963,1.8864907251724818,3.3780343224573315,1.4771212547196624,-1.4915435972848496,-1.900913067737669,-0.4093694704528194
11228,4666,TJES,Justiça Estadual,VARA DA FAZENDA PÚBLICA ESTADUAL - SERRA,ES,892,25,1174,31,0.02129471890971039,0.026405451448040886,1.24,1.3979400086720377,3.0696680969115957,1.4913616938342726,-1.671728088239558,-1.578306403077323,0.09342168516223506
11229,4667,TJES,Justiça Estadual,VARA FAZENDA PUBLICA MUNICIPAL - SERRA,ES,892,94,14902,148,0.006307878137162797,0.009931552811703126,1.574468085106383,1.9731278535996986,4.173244559061566,2.1702617153949575,-2.200116705461868,-2.0029828436666093,0.19713386179525874
11231,4669,TJES,Justiça Estadual,1ª VARA DA INFÂNCIA E JUVENTUDE - SERRA,ES,892,107,694,109,0.15417867435158503,0.15706051873198848,1.0186915887850467,2.0293837776852097,2.841359470454855,2.037426497940624,-0.8119756927696452,-0.8039329725142312,0.008042720255413995
11232,4670,TJES,Justiça Estadual,2ª VARA DA INFÂNCIA E JUVENTUDE - SERRA,ES,892,29,1132,83,0.02561837455830389,0.07332155477031801,2.8620689655172415,1.462397997898956,3.0538464268522527,1.919078092376074,-1.5914484289532964,-1.1347683344761788,0.4566800944771179
11233,4671,TJES,Justiça Estadual,1º JUIZADO ESPECIAL CÍVEL - SERRA,ES,892,157,3138,212,0.05003186743148502,0.06755895474824729,1.3503184713375795,2.1958996524092336,3.496652939250918,2.3263358609287517,-1.3007532868416842,-1.1703170783221664,0.13043620851951768
11234,4673,TJSC,Justiça Estadual,VARA ÚNICA DA COMARCA DE CAPIVARI DE BAIXO,SC,4497,192,13807,311,0.013905989715361774,0.022524806257695373,1.6197916666666667,2.2833012287035497,4.1400993248507945,2.4927603890268375,-1.8567980961472448,-1.647338935823957,0.20945916032328793
11235,4674,TJES,Justiça Estadual,2º JUIZADO ESPECIAL CÍVEL - SERRA,ES,892,207,2201,247,0.09404815992730577,0.11222171740118128,1.1932367149758454,2.315970345456918,3.342620042553348,2.392696953259666,-1.0266496970964303,-0.9499230892936822,0.07672660780274797
11236,4675,TJES,Justiça Estadual,3º JUIZADO ESPECIAL CÍVEL - SERRA,ES,892,237,1840,213,0.12880434782608696,0.11576086956521739,0.8987341772151899,2.374748346010104,3.2648178230095364,2.3283796034387376,-0.8900694769994326,-0.9364382195707988,-0.04636874257136613
11237,4676,TJES,Justiça Estadual,1º JUIZADO ESPECIAL CRIMINAL E DA FAZENDA PÚBLICA - SERRA,ES,892,62,1395,42,0.044444444444444446,0.030107526881720432,0.6774193548387096,1.792391689498254,3.144574207609616,1.6232492903979006,-1.3521825181113625,-1.5213249172117158,-0.16914239910035345
11238,4677,TJSC,Justiça Estadual,VARA ÚNICA DA COMARCA DE CATANDUVAS,SC,4498,121,3426,149,0.03531815528312901,0.043490951546993575,1.2314049586776858,2.08278537031645,3.5347873586294916,2.173186268412274,-1.4520019883130417,-1.3616010902172178,0.09040089809582391
11239,4678,TJBA,Justiça Estadual,VARA DE JURISDIÇÃO PLENA - ITARANTIM,BA,400,33,5008,149,0.006589456869009584,0.029752396166134187,4.515151515151516,1.5185139398778875,3.6996643202023733,2.173186268412274,-2.181150380324486,-1.526478051790099,0.6546723285343866
11240,4679,TJES,Justiça Estadual,2º JUIZADO ESPECIAL CRIMINAL E DA FAZENDA PÚBLICA - SERRA,ES,892,55,1873,96,0.029364655632674853,0.05125467164975974,1.7454545454545454,1.7403626894942439,3.2725377773752373,1.9822712330395684,-1.5321750878809934,-1.290266544335669,0.24190854354532454
11241,4681,TJES,Justiça Estadual,"VARA CÍVEL, DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, DE REGISTROS PÚBLICOS E DE MEIO AMBIENTE - VIANA",ES,896,104,10547,125,0.009860623874087418,0.0118517113871243,1.2019230769230769,2.0170333392987803,4.0231289460104955,2.0969100130080562,-2.0060956067117153,-1.9262189330024393,0.07987667370927604
11242,4682,TJES,Justiça Estadual,1ª VARA CRIMINAL - VIANA,ES,896,19,847,57,0.02243211334120425,0.06729634002361275,3.0,1.2787536009528289,2.9278834103307068,1.7558748556724915,-1.649129809377878,-1.1720085546582155,0.47712125471966244
11243,4684,TJES,Justiça Estadual,VARA DE FAMÍLIA - VIANA,ES,896,65,1338,45,0.04857997010463378,0.033632286995515695,0.6923076923076923,1.8129133566428555,3.1264561134318045,1.6532125137753437,-1.3135427567889488,-1.4732435996564606,-0.1597008428675119
11244,4685,TJBA,Justiça Estadual,VARA DE JURISDIÇÃO PLENA - CONCEIÇÃO DO JACUÍPE,BA,305,85,3669,59,0.02316707549741074,0.016080675933496866,0.6941176470588235,1.9294189257142929,3.5645477117559476,1.7708520116421442,-1.6351287860416552,-1.7936957001138036,-0.15856691407214854
11246,4687,TJES,Justiça Estadual,JUIZADO ESPECIAL CÍVEL - VIANA,ES,896,79,816,130,0.09681372549019608,0.15931372549019607,1.6455696202531647,1.8976270912904414,2.9116901587538613,2.113943352306837,-1.0140630674634197,-0.7977468064470244,0.21631626101639537
11247,46877,TRT4,Justiça do Trabalho,VT ALEGRETE,RS,3943,61,891,72,0.06846240179573512,0.08080808080808081,1.180327868852459,1.7853298350107671,2.949877704036875,1.8573324964312685,-1.1645478690261077,-1.0925452076056064,0.07200266142050142
11248,46878,TRT4,Justiça do Trabalho,VT ALVORADA,RS,3949,148,3821,237,0.038733315885893745,0.06202564773619471,1.6013513513513513,2.1702617153949575,3.5821770376884086,2.374748346010104,-1.4119153222934515,-1.207428691678305,0.20448663061514646
11249,46879,TRT4,Justiça do Trabalho,VT ARROIO GRANDE,RS,3963,19,1022,34,0.018590998043052837,0.033268101761252444,1.7894736842105263,1.2787536009528289,3.009450895798694,1.5314789170422551,-1.730697294845865,-1.4779719787564387,0.25272531608942617
11250,4688,TJBA,Justiça Estadual,VARA DE JURISDIÇÃO PLENA - CORAÇÃO DE MARIA,BA,309,46,2502,2,0.01838529176658673,0.0007993605115907274,0.043478260869565216,1.662757831681574,3.398287305357401,0.3010299956639812,-1.735529473675827,-3.09725730969342,-1.3617278360175928
11251,46880,TRT4,Justiça do Trabalho,1ª BAGÉ,RS,3967,100,3137,95,0.031877590054191905,0.03028371055148231,0.95,2.0,3.496514518697745,1.9777236052888478,-1.496514518697745,-1.5187909134088973,-0.022276394711152253
11252,46881,TRT4,Justiça do Trabalho,2ª BAGÉ,RS,3967,97,3019,80,0.03212984431931103,0.026498840675720437,0.8247422680412371,1.9867717342662448,3.479863113023098,1.9030899869919435,-1.493091378756853,-1.5767731260311542,-0.08368174727430128
11253,46882,TRT4,Justiça do Trabalho,POSTO DE DOM PEDRITO,RS,4073,17,481,30,0.035343035343035345,0.062370062370062374,1.7647058823529411,1.2304489213782739,2.682145076373832,1.4771212547196624,-1.4516961549955578,-1.2050238216541693,0.2466723333413885
11254,46883,TRT4,Justiça do Trabalho,1ª BENTO GONÇALVES,RS,3980,130,2885,142,0.045060658578856154,0.04922010398613518,1.0923076923076922,2.113943352306837,3.46014581749175,2.1522883443830563,-1.3462024651849134,-1.3078574731086938,0.03834499207621967
11255,46884,TRT4,Justiça do Trabalho,2ª BENTO GONÇALVES,RS,3980,151,3434,141,0.043972044263249854,0.04105998835177636,0.9337748344370861,2.1789769472931693,3.5358002908248976,2.1492191126553797,-1.3568233435317283,-1.3865811781695179,-0.029757834637789537
11256,46885,TRT4,Justiça do Trabalho,POSTO DE NOVA PRATA,RS,4219,100,1473,114,0.06788866259334692,0.07739307535641547,1.14,2.0,3.168202746842631,2.0569048513364727,-1.1682027468426308,-1.1112978955061583,0.05690485133647255
11257,46886,TRT4,Justiça do Trabalho,VT CACHOEIRA DO SUL,RS,3998,89,3325,150,0.02676691729323308,0.045112781954887216,1.6853932584269662,1.9493900066449128,3.5217916496391233,2.1760912590556813,-1.5724016429942107,-1.3457003905834422,0.22670125241076844
11258,46887,TRT4,Justiça do Trabalho,1ª CACHOEIRINHA,RS,3999,104,1864,107,0.055793991416309016,0.05740343347639485,1.0288461538461537,2.0170333392987803,3.2704459080179626,2.0293837776852097,-1.2534125687191822,-1.241062130332753,0.012350438386429243
11259,46888,TRT4,Justiça do Trabalho,2ª CACHOEIRINHA,RS,3999,118,2934,114,0.04021813224267212,0.03885480572597137,0.9661016949152542,2.0718820073061255,3.4674601095072637,2.0569048513364727,-1.3955781022011384,-1.4105552581707912,-0.0149771559696528
11260,46889,TRT4,Justiça do Trabalho,VT CAMAQUÃ,RS,4003,74,2098,60,0.03527168732125834,0.028598665395614873,0.8108108108108109,1.8692317197309762,3.3218054838575393,1.7781512503836436,-1.4525737641265628,-1.5436542334738954,-0.09108046934733253
11261,4689,TJES,Justiça Estadual,JUIZADO ESPECIAL CRIMINAL E DA FAZENDA PÚBLICA - VIANA,ES,896,25,326,17,0.07668711656441718,0.05214723926380368,0.68,1.3979400086720377,2.513217600067939,1.2304489213782739,-1.1152775913959014,-1.282768678689665,-0.16749108729376366
11262,46890,TRT4,Justiça do Trabalho,POSTO DE SÃO LOURENÇO DO SUL,RS,4337,23,746,11,0.030831099195710455,0.014745308310991957,0.4782608695652174,1.3617278360175928,2.8727388274726686,1.041392685158225,-1.511010991455076,-1.8313461423144437,-0.3203351508593678
11263,46891,TRT4,Justiça do Trabalho,1ª CANOAS,RS,4017,122,5176,105,0.02357032457496136,0.020285935085007728,0.860655737704918,2.0863598306747484,3.713994267660644,2.0211892990699383,-1.6276344369858957,-1.6928049685907058,-0.06517053160481018
11264,46892,TRT4,Justiça do Trabalho,2ª CANOAS,RS,4017,164,3620,132,0.045303867403314914,0.036464088397790057,0.8048780487804879,2.214843848047698,3.558708570533166,2.12057393120585,-1.3438647224854678,-1.4381346393273158,-0.09426991684184799
11265,46893,TRT4,Justiça do Trabalho,3ª CANOAS,RS,4017,171,3611,139,0.0473553032400997,0.03849349210744946,0.8128654970760234,2.2329961103921536,3.5576274884268266,2.143014800254095,-1.3246313780346728,-1.4146126881727314,-0.08998131013805875
